rmse_x,rmse_y,rmse_z,label
0.1489,1.0503,0.284,normal
0.1488,1.0504,0.2844,normal
0.1493,1.0502,0.2851,normal
0.1496,1.0501,0.285,normal
0.1499,1.0496,0.2853,normal
0.1502,1.05,0.2856,normal
0.1503,1.05,0.2853,normal
0.1501,1.0502,0.2851,normal
0.1501,1.0494,0.2846,normal
0.15,1.0498,0.2844,normal
0.1504,1.0492,0.2847,normal
0.1504,1.0491,0.2848,normal
0.1505,1.0491,0.2847,normal
0.15,1.0499,0.2846,normal
0.1502,1.0501,0.2851,normal
0.1494,1.0504,0.2854,normal
0.1492,1.0508,0.2848,normal
0.1492,1.0505,0.2846,normal
0.1497,1.0501,0.285,normal
0.1498,1.0495,0.285,normal
0.1502,1.0497,0.2847,normal
0.1502,1.0492,0.286,normal
0.15,1.0495,0.2862,normal
0.1501,1.0492,0.2858,normal
0.1501,1.0493,0.2851,normal
0.1504,1.0489,0.2857,normal
0.1501,1.0492,0.2842,normal
0.1503,1.0495,0.2838,normal
0.15,1.0492,0.2841,normal
0.1494,1.0493,0.2839,normal
0.1496,1.049,0.2836,normal
0.1501,1.049,0.2853,normal
0.1503,1.0484,0.2857,normal
0.1506,1.049,0.2867,normal
0.1505,1.0496,0.2871,normal
0.1498,1.0501,0.2867,normal
0.1496,1.0505,0.2852,normal
0.1497,1.0502,0.285,normal
0.1498,1.05,0.2848,normal
0.1503,1.0499,0.2852,normal
0.151,1.0493,0.2859,normal
0.1513,1.0491,0.2867,normal
0.1511,1.0499,0.2862,normal
0.1507,1.0496,0.2856,normal
0.1501,1.0494,0.2852,normal
0.1491,1.0496,0.2849,normal
0.1487,1.0497,0.2842,normal
0.1487,1.0499,0.2848,normal
0.1492,1.0495,0.2851,normal
0.1497,1.0499,0.2851,normal
0.1497,1.05,0.2846,normal
0.15,1.0495,0.2859,normal
0.15,1.0501,0.2852,normal
0.1497,1.0504,0.285,normal
0.1497,1.05,0.2851,normal
0.1504,1.05,0.2859,normal
0.1502,1.0506,0.2851,normal
0.15,1.05,0.2854,normal
0.1504,1.0496,0.2856,normal
0.1501,1.0502,0.2855,normal
0.1496,1.0502,0.2851,normal
0.1494,1.05,0.2854,normal
0.1493,1.0504,0.2851,normal
0.1485,1.0507,0.2855,normal
0.1488,1.0505,0.2846,normal
0.1486,1.0507,0.285,normal
0.1489,1.0506,0.2841,normal
0.1486,1.0504,0.2845,normal
0.1491,1.0501,0.2839,normal
0.149,1.0499,0.2843,normal
0.1495,1.0497,0.2842,normal
0.1493,1.0495,0.2845,normal
0.1497,1.0496,0.2844,normal
0.1501,1.0494,0.2843,normal
0.1495,1.0494,0.2843,normal
0.1498,1.0486,0.2844,normal
0.1503,1.0489,0.2845,normal
0.1506,1.0487,0.2841,normal
0.1501,1.049,0.2849,normal
0.1507,1.0495,0.2855,normal
0.1505,1.0498,0.2858,normal
0.1501,1.0498,0.286,normal
0.1493,1.05,0.2863,normal
0.1494,1.0498,0.2857,normal
0.1491,1.0503,0.2852,normal
0.1492,1.0498,0.2847,normal
0.1492,1.0503,0.2842,normal
0.15,1.0498,0.2849,normal
0.1502,1.05,0.2846,normal
0.1502,1.049,0.2847,normal
0.1504,1.0493,0.285,normal
0.1503,1.0487,0.2853,normal
0.1503,1.049,0.2854,normal
0.1503,1.0491,0.286,normal
0.1497,1.0495,0.2863,normal
0.1494,1.05,0.2863,normal
0.149,1.0504,0.2858,normal
0.1489,1.0508,0.2857,normal
0.1492,1.0506,0.2851,normal
0.1499,1.0502,0.2844,normal
0.1499,1.0501,0.285,normal
0.1502,1.0502,0.2846,normal
0.1507,1.0496,0.2846,normal
0.15,1.0497,0.2852,normal
0.1499,1.0499,0.2856,normal
0.1504,1.0496,0.2858,normal
0.1502,1.0495,0.2853,normal
0.1499,1.0497,0.2859,normal
0.1501,1.0498,0.2857,normal
0.1501,1.0501,0.285,normal
0.1498,1.0504,0.2838,normal
0.1503,1.0506,0.2844,normal
0.1501,1.0507,0.285,normal
0.1502,1.0507,0.2859,normal
0.1506,1.0505,0.2868,normal
0.1501,1.05,0.2876,normal
0.1494,1.0499,0.2877,normal
0.1493,1.0497,0.2865,normal
0.1496,1.0493,0.2861,normal
0.1491,1.0493,0.2855,normal
0.1492,1.0499,0.2853,normal
0.15,1.0499,0.2853,normal
0.1498,1.0499,0.2854,normal
0.1492,1.0506,0.2854,normal
0.1495,1.0507,0.2856,normal
0.1496,1.0503,0.2853,normal
0.1496,1.0498,0.285,normal
0.1497,1.05,0.2852,normal
0.1498,1.0496,0.2854,normal
0.1494,1.0495,0.2861,normal
0.1505,1.0493,0.2877,normal
0.1504,1.0498,0.2896,normal
0.1515,1.0488,0.2907,normal
0.1509,1.0494,0.2907,normal
0.152,1.0493,0.2923,normal
0.1491,1.05,0.2941,normal
0.1518,1.0494,0.2948,normal
0.1523,1.0501,0.2935,normal
0.1535,1.0498,0.2951,normal
0.1541,1.0505,0.2932,normal
0.154,1.0497,0.2955,normal
0.1572,1.0516,0.2967,normal
0.1569,1.0512,0.3002,normal
0.1565,1.0513,0.3011,normal
0.158,1.0506,0.3007,normal
0.1611,1.0515,0.2981,normal
0.1564,1.0509,0.2964,normal
0.1569,1.0518,0.2951,normal
0.159,1.0511,0.2948,normal
0.2392,1.0755,0.3571,anomaly
0.3563,1.0945,0.4991,anomaly
0.4332,1.1049,0.5401,anomaly
0.4333,1.1043,0.5407,anomaly
0.4321,1.1022,0.5403,anomaly
0.4342,1.1089,0.544,anomaly
0.2703,1.0699,0.3477,anomaly
0.1148,1.061,0.2838,anomaly
0.1144,1.0606,0.2832,anomaly
0.1239,1.0625,0.2898,anomaly
0.1378,1.0584,0.2885,anomaly
0.1887,1.0592,0.3171,anomaly
0.304,1.0891,0.4142,anomaly
0.3253,1.0967,0.43,anomaly
0.3222,1.0955,0.4273,anomaly
0.3198,1.0931,0.4274,anomaly
0.2932,1.0915,0.4079,anomaly
0.1822,1.0635,0.3191,anomaly
0.2057,1.0653,0.3283,anomaly
0.2949,1.0632,0.3909,anomaly
0.291,1.0672,0.3924,anomaly
0.3004,1.0834,0.4048,anomaly
0.3464,1.0867,0.4391,anomaly
0.3676,1.1013,0.4669,anomaly
0.3606,1.1004,0.4884,anomaly
0.3904,1.1201,0.5267,anomaly
0.406,1.1111,0.5528,anomaly
0.4525,1.1331,0.5778,anomaly
0.5304,1.126,0.5969,anomaly
0.5405,1.1403,0.5899,anomaly
0.5306,1.1223,0.5638,anomaly
0.5184,1.1203,0.5306,anomaly
0.4307,1.0927,0.4632,anomaly
0.2874,1.0809,0.3839,anomaly
0.1823,1.0665,0.3092,anomaly
0.1456,1.0605,0.2862,anomaly
0.1068,1.0569,0.2758,anomaly
0.1058,1.0552,0.275,anomaly
0.134,1.0524,0.2883,anomaly
0.2766,1.0807,0.431,anomaly
0.3181,1.0851,0.4519,anomaly
0.3177,1.0842,0.4522,anomaly
0.3194,1.083,0.4525,anomaly
0.3074,1.0929,0.4495,anomaly
0.1718,1.0652,0.3228,anomaly
0.1629,1.0704,0.308,anomaly
0.2276,1.0768,0.3453,anomaly
0.253,1.08,0.3683,anomaly
0.2658,1.0745,0.3757,anomaly
0.3111,1.0934,0.3902,anomaly
0.3477,1.0964,0.4227,anomaly
0.3321,1.1066,0.4221,anomaly
0.352,1.1142,0.4125,anomaly
0.341,1.1061,0.4065,anomaly
0.2943,1.0946,0.3821,anomaly
0.2627,1.076,0.3485,anomaly
0.2378,1.075,0.3356,anomaly
0.2252,1.082,0.3407,anomaly
0.2181,1.0878,0.3391,anomaly
0.2043,1.0845,0.3288,anomaly
0.1836,1.0799,0.322,anomaly
0.1609,1.0721,0.3086,anomaly
0.1204,1.0572,0.282,anomaly
0.1144,1.0562,0.2808,anomaly
0.1283,1.0691,0.2971,anomaly
0.1355,1.0718,0.3055,anomaly
0.1497,1.0704,0.309,anomaly
0.1537,1.0747,0.3113,anomaly
0.1673,1.0767,0.3249,anomaly
0.1767,1.086,0.3203,anomaly
0.1749,1.0848,0.314,anomaly
0.168,1.0837,0.3188,anomaly
0.2014,1.0797,0.3277,anomaly
0.2133,1.0717,0.3178,anomaly
0.2083,1.0568,0.3178,anomaly
0.2659,1.0843,0.3654,anomaly
0.347,1.1191,0.422,anomaly
0.4111,1.1464,0.5011,anomaly
0.452,1.1847,0.5463,anomaly
0.4634,1.1826,0.5632,anomaly
0.444,1.1555,0.5493,anomaly
0.3735,1.1227,0.4949,anomaly
0.3026,1.0981,0.4312,anomaly
0.2199,1.0685,0.3725,anomaly
0.1843,1.0609,0.3391,anomaly
0.1608,1.0622,0.3146,anomaly
0.169,1.0775,0.3149,anomaly
0.1944,1.0892,0.3264,anomaly
0.2024,1.0938,0.3347,anomaly
0.2024,1.0911,0.3305,anomaly
0.2362,1.0902,0.3465,anomaly
0.2654,1.0929,0.3908,anomaly
0.3346,1.1126,0.4555,anomaly
0.3356,1.1038,0.4575,anomaly
0.4497,1.1296,0.5415,anomaly
0.5288,1.1629,0.6623,anomaly
0.6091,1.1852,0.7346,anomaly
0.6452,1.2193,0.7959,anomaly
0.6441,1.2202,0.7933,anomaly
0.5678,1.1962,0.7254,anomaly
0.4758,1.1654,0.6141,anomaly
0.3006,1.0961,0.4684,anomaly
0.1641,1.0592,0.316,anomaly
0.1974,1.0603,0.343,anomaly
0.2046,1.0684,0.346,anomaly
0.2279,1.0662,0.352,anomaly
0.2857,1.0776,0.3737,anomaly
0.274,1.0759,0.3673,anomaly
0.3048,1.0819,0.3588,anomaly
0.3334,1.0873,0.3937,anomaly
0.3425,1.101,0.4157,anomaly
0.3409,1.0896,0.4438,anomaly
0.3371,1.0901,0.4345,anomaly
0.3027,1.0881,0.4361,anomaly
0.2888,1.066,0.4171,anomaly
0.3514,1.0828,0.5019,anomaly
0.3421,1.0831,0.4934,anomaly
0.3392,1.0791,0.4893,anomaly
0.3213,1.0754,0.4708,anomaly
0.3095,1.0842,0.4619,anomaly
0.2378,1.0718,0.3962,anomaly
0.2935,1.0856,0.426,anomaly
0.3028,1.0858,0.4438,anomaly
0.3362,1.0831,0.4588,anomaly
0.3831,1.0951,0.494,anomaly
0.3705,1.0956,0.4684,anomaly
0.3348,1.08,0.438,anomaly
0.4426,1.1117,0.477,anomaly
0.4281,1.1174,0.4761,anomaly
0.3886,1.1026,0.4404,anomaly
0.3951,1.0886,0.423,anomaly
0.3696,1.0937,0.393,anomaly
0.2595,1.0768,0.3559,anomaly
0.2675,1.0723,0.3616,anomaly
0.2642,1.0731,0.3592,anomaly
0.2392,1.0775,0.3571,anomaly
0.2276,1.0785,0.3491,anomaly
0.1697,1.0635,0.3095,anomaly
0.1461,1.0676,0.2964,anomaly
0.1315,1.0729,0.3017,anomaly
0.1465,1.0683,0.2971,anomaly
0.1518,1.0763,0.3029,anomaly
0.1575,1.0764,0.3057,anomaly
0.159,1.0784,0.3123,anomaly
0.2775,1.0877,0.3743,anomaly
0.3129,1.1169,0.4451,anomaly
0.3442,1.1376,0.4957,anomaly
0.3891,1.1671,0.5496,anomaly
0.4286,1.1686,0.5818,anomaly
0.3653,1.1522,0.5456,anomaly
0.3392,1.1384,0.5021,anomaly
