rms_x,rms_y,rms_z,pw,label
0.03,1.09,0.05,194.68,bearing
0.03,1.09,0.05,192.82,bearing
0.03,1.09,0.05,194.08,bearing
0.03,1.08,0.05,181.64,bearing
0.03,1.09,0.05,191.00,bearing
0.03,1.08,0.05,188.57,bearing
0.03,1.09,0.05,189.59,bearing
0.03,1.09,0.05,185.44,bearing
0.03,1.09,0.05,188.50,bearing
0.03,1.09,0.05,187.35,bearing
0.03,1.09,0.05,191.90,bearing
0.03,1.09,0.05,191.12,bearing
0.03,1.09,0.05,196.69,bearing
0.03,1.09,0.05,192.87,bearing
0.03,1.09,0.05,197.33,bearing
0.03,1.09,0.05,190.22,bearing
0.03,1.09,0.05,193.06,bearing
0.03,1.09,0.05,194.13,bearing
0.03,1.09,0.05,194.34,bearing
0.03,1.09,0.05,193.04,bearing
0.03,1.09,0.05,188.72,bearing
0.03,1.09,0.05,191.44,bearing
0.03,1.09,0.05,197.14,bearing
0.03,1.09,0.05,190.50,bearing
0.03,1.09,0.05,195.72,bearing
0.03,1.09,0.05,190.76,bearing
0.03,1.09,0.05,187.26,bearing
0.03,1.09,0.05,191.93,bearing
0.03,1.08,0.05,188.31,bearing
0.03,1.09,0.05,187.06,bearing
0.03,1.09,0.05,191.98,bearing
0.03,1.09,0.05,191.94,bearing
0.03,1.09,0.05,189.29,bearing
0.03,1.09,0.05,188.17,bearing
0.03,1.09,0.05,183.71,bearing
0.03,1.09,0.05,195.78,bearing
0.03,1.09,0.05,192.67,bearing
0.03,1.09,0.05,195.93,bearing
0.03,1.09,0.05,190.72,bearing
0.03,1.09,0.05,197.58,bearing
0.03,1.09,0.05,196.89,bearing
0.03,1.09,0.05,194.57,bearing
0.03,1.08,0.05,199.64,bearing
0.03,1.09,0.05,197.02,bearing
0.03,1.09,0.05,205.88,bearing
0.03,1.09,0.05,198.59,bearing
0.03,1.09,0.05,199.20,bearing
0.03,1.09,0.05,199.30,bearing
0.03,1.09,0.05,198.55,bearing
0.03,1.09,0.05,194.80,bearing
0.03,1.09,0.05,189.20,bearing
0.03,1.09,0.05,195.77,bearing
0.03,1.09,0.05,191.01,bearing
0.03,1.09,0.05,200.88,bearing
0.03,1.09,0.05,196.99,bearing
0.03,1.09,0.05,195.82,bearing
0.03,1.09,0.05,186.76,bearing
0.03,1.09,0.05,187.98,bearing
0.03,1.09,0.05,187.99,bearing
0.03,1.09,0.05,190.52,bearing
0.03,1.09,0.05,193.44,bearing
0.03,1.09,0.05,192.47,bearing
0.03,1.09,0.05,201.08,bearing
0.03,1.09,0.05,194.87,bearing
0.03,1.09,0.05,196.88,bearing
0.03,1.09,0.05,193.17,bearing
0.03,1.09,0.05,189.63,bearing
0.03,1.09,0.05,194.64,bearing
0.03,1.09,0.05,191.15,bearing
0.03,1.09,0.05,200.07,bearing
0.03,1.09,0.05,190.81,bearing
0.03,1.09,0.05,198.58,bearing
0.03,1.09,0.05,196.37,bearing
0.03,1.09,0.05,194.93,bearing
0.03,1.09,0.05,196.49,bearing
0.03,1.09,0.05,191.35,bearing
0.03,1.09,0.05,197.50,bearing
0.03,1.09,0.05,192.72,bearing
0.03,1.09,0.05,196.86,bearing
0.03,1.09,0.05,193.51,bearing
0.03,1.09,0.05,192.23,bearing
0.03,1.09,0.05,193.66,bearing
0.03,1.09,0.05,192.11,bearing
0.03,1.09,0.05,200.88,bearing
0.03,1.09,0.05,196.16,bearing
0.03,1.09,0.05,190.88,bearing
0.03,1.09,0.05,196.49,bearing
0.03,1.09,0.05,193.10,bearing
0.03,1.09,0.05,196.27,bearing
0.03,1.09,0.05,198.86,bearing
0.03,1.09,0.05,196.78,bearing
0.03,1.09,0.05,194.72,bearing
0.03,1.09,0.05,191.66,bearing
0.03,1.09,0.05,198.60,bearing
0.03,1.09,0.05,196.68,bearing
0.03,1.09,0.05,204.29,bearing
0.03,1.09,0.05,200.07,bearing
0.03,1.09,0.05,202.03,bearing
0.03,1.09,0.05,202.59,bearing
0.03,1.09,0.05,194.95,bearing
0.03,1.09,0.05,193.12,bearing
0.03,1.09,0.05,191.31,bearing
0.03,1.09,0.05,195.38,bearing
0.03,1.09,0.05,190.19,bearing
0.03,1.09,0.05,194.32,bearing
0.03,1.09,0.05,192.81,bearing
0.03,1.09,0.05,193.28,bearing
0.03,1.08,0.05,195.17,bearing
0.03,1.09,0.05,191.13,bearing
0.03,1.08,0.05,196.02,bearing
0.03,1.09,0.05,187.86,bearing
0.03,1.09,0.05,194.13,bearing
0.03,1.09,0.05,194.06,bearing
0.03,1.09,0.05,202.26,bearing
0.03,1.09,0.05,193.20,bearing
0.03,1.09,0.05,194.80,bearing
0.03,1.09,0.05,190.25,bearing
0.03,1.09,0.05,197.78,bearing
0.03,1.09,0.05,193.14,bearing
0.03,1.09,0.05,198.59,bearing
0.03,1.09,0.05,197.87,bearing
0.03,1.09,0.05,192.14,bearing
0.03,1.09,0.05,190.57,bearing
0.03,1.09,0.05,193.28,bearing
0.03,1.08,0.05,188.59,bearing
0.03,1.09,0.05,186.05,bearing
0.03,1.09,0.05,190.72,bearing
0.03,1.09,0.05,186.46,bearing
0.03,1.09,0.05,196.23,bearing
0.03,1.09,0.05,196.22,bearing
0.03,1.09,0.05,199.71,bearing
0.03,1.09,0.05,194.65,bearing
0.03,1.09,0.05,201.55,bearing
0.03,1.09,0.05,192.05,bearing
0.03,1.09,0.05,198.73,bearing
0.03,1.09,0.05,190.61,bearing
0.03,1.09,0.05,195.96,bearing
0.03,1.09,0.05,189.08,bearing
0.03,1.09,0.05,193.31,bearing
0.03,1.09,0.05,190.91,bearing
0.03,1.09,0.05,200.08,bearing
0.03,1.09,0.05,189.51,bearing
0.03,1.09,0.05,195.18,bearing
0.03,1.09,0.05,188.07,bearing
0.03,1.09,0.05,194.33,bearing
0.03,1.09,0.05,187.34,bearing
0.03,1.09,0.05,185.80,bearing
0.03,1.09,0.05,181.72,bearing
0.03,1.09,0.05,187.06,bearing
0.03,1.09,0.05,182.86,bearing
0.03,1.09,0.05,191.58,bearing
0.03,1.09,0.05,183.39,bearing
0.03,1.09,0.05,184.74,bearing
0.03,1.09,0.05,177.05,bearing
0.03,1.09,0.05,186.42,bearing
0.03,1.09,0.05,184.59,bearing
0.03,1.09,0.05,184.07,bearing
0.03,1.09,0.05,188.56,bearing
0.03,1.09,0.05,186.40,bearing
0.03,1.09,0.05,191.20,bearing
0.03,1.09,0.05,187.50,bearing
0.03,1.09,0.05,185.75,bearing
0.03,1.09,0.05,196.50,bearing
0.03,1.09,0.05,185.45,bearing
0.03,1.09,0.05,196.10,bearing
0.03,1.09,0.05,187.43,bearing
0.03,1.09,0.05,190.01,bearing
0.03,1.09,0.05,198.23,bearing
0.03,1.09,0.05,193.92,bearing
0.03,1.09,0.05,192.78,bearing
0.03,1.09,0.05,185.69,bearing
0.03,1.09,0.05,189.32,bearing
0.03,1.09,0.05,184.29,bearing
0.03,1.09,0.05,192.07,bearing
0.03,1.09,0.05,181.61,bearing
0.03,1.09,0.05,188.65,bearing
0.03,1.09,0.05,184.80,bearing
0.03,1.09,0.05,191.73,bearing
0.03,1.09,0.05,186.79,bearing
0.03,1.09,0.05,193.67,bearing
0.03,1.09,0.05,185.21,bearing
0.03,1.09,0.05,182.48,bearing
0.03,1.09,0.05,191.24,bearing
0.03,1.09,0.05,182.82,bearing
0.03,1.09,0.05,184.08,bearing
0.03,1.09,0.05,180.27,bearing
0.03,1.09,0.05,181.63,bearing
0.03,1.09,0.05,180.99,bearing
0.03,1.09,0.05,177.27,bearing
0.03,1.09,0.05,180.41,bearing
0.03,1.09,0.05,180.61,bearing
0.03,1.09,0.05,182.10,bearing
0.03,1.09,0.05,183.10,bearing
0.03,1.09,0.05,175.45,bearing
0.03,1.09,0.05,179.95,bearing
0.03,1.09,0.05,181.50,bearing
0.03,1.09,0.05,178.83,bearing
0.03,1.09,0.05,179.61,bearing
0.03,1.09,0.05,185.51,bearing
0.03,1.09,0.05,178.15,bearing
0.03,1.09,0.05,180.30,bearing
0.03,1.09,0.05,181.00,bearing
0.03,1.09,0.05,176.00,bearing
0.03,1.09,0.05,186.80,bearing
0.03,1.09,0.05,188.23,bearing
0.03,1.09,0.05,179.29,bearing
0.03,1.09,0.05,184.07,bearing
0.03,1.09,0.05,188.33,bearing
0.03,1.09,0.05,181.59,bearing
0.03,1.09,0.05,179.95,bearing
0.03,1.09,0.05,175.02,bearing
0.03,1.09,0.05,180.14,bearing
0.03,1.09,0.05,186.04,bearing
0.03,1.09,0.05,179.75,bearing
0.03,1.09,0.05,187.10,bearing
0.03,1.09,0.05,185.97,bearing
0.03,1.09,0.05,185.86,bearing
0.03,1.09,0.05,190.48,bearing
0.03,1.09,0.05,179.37,bearing
0.03,1.09,0.05,187.76,bearing
0.03,1.09,0.05,191.05,bearing
0.03,1.08,0.05,180.20,bearing
0.03,1.09,0.05,188.45,bearing
0.03,1.09,0.05,182.50,bearing
0.03,1.09,0.05,180.85,bearing
0.03,1.09,0.05,183.60,bearing
0.03,1.09,0.05,182.13,bearing
0.03,1.09,0.05,175.64,bearing
0.03,1.09,0.05,182.74,bearing
0.03,1.09,0.05,188.70,bearing
0.03,1.09,0.05,179.60,bearing
0.03,1.09,0.05,181.65,bearing
0.03,1.09,0.05,189.72,bearing
0.03,1.09,0.05,181.61,bearing
0.03,1.09,0.05,181.08,bearing
0.03,1.09,0.05,183.09,bearing
0.03,1.09,0.05,176.17,bearing
0.03,1.09,0.05,184.09,bearing
0.03,1.09,0.05,178.69,bearing
0.03,1.08,0.05,173.62,bearing
0.03,1.09,0.05,181.64,bearing
0.03,1.09,0.05,184.02,bearing
0.03,1.09,0.05,176.71,bearing
0.03,1.09,0.05,179.25,bearing
0.03,1.09,0.05,177.63,bearing
0.03,1.09,0.05,174.61,bearing
0.03,1.09,0.05,181.28,bearing
0.03,1.09,0.05,178.69,bearing
0.03,1.09,0.05,174.60,bearing
0.03,1.09,0.05,177.72,bearing
0.03,1.09,0.05,187.99,bearing
0.03,1.09,0.05,179.34,bearing
0.03,1.09,0.05,179.25,bearing
0.03,1.09,0.05,187.95,bearing
0.03,1.09,0.05,180.15,bearing
0.03,1.09,0.05,177.77,bearing
0.03,1.09,0.05,185.79,bearing
0.03,1.09,0.05,185.72,bearing
0.03,1.09,0.05,180.31,bearing
0.03,1.09,0.05,185.35,bearing
0.03,1.09,0.05,179.45,bearing
0.03,1.09,0.05,181.65,bearing
