rms_x,rms_y,rms_z,pw,label
0.04,1.09,0.04,164.76,bearing
0.04,1.09,0.04,163.95,bearing
0.04,1.09,0.04,156.88,bearing
0.04,1.09,0.04,161.36,bearing
0.04,1.09,0.04,161.11,bearing
0.04,1.09,0.04,159.48,bearing
0.04,1.09,0.04,162.31,bearing
0.04,1.08,0.04,159.18,bearing
0.04,1.09,0.04,158.22,bearing
0.04,1.09,0.04,152.43,bearing
0.04,1.09,0.04,156.02,bearing
0.04,1.09,0.04,166.11,bearing
0.04,1.09,0.04,163.23,bearing
0.04,1.08,0.04,161.59,bearing
0.04,1.08,0.04,156.39,bearing
0.04,1.09,0.04,159.85,bearing
0.04,1.09,0.04,154.25,bearing
0.04,1.09,0.04,157.42,bearing
0.04,1.08,0.04,165.49,bearing
0.04,1.09,0.04,159.99,bearing
0.04,1.09,0.04,160.67,bearing
0.04,1.09,0.04,153.54,bearing
0.04,1.09,0.04,158.47,bearing
0.04,1.09,0.04,164.73,bearing
0.04,1.09,0.04,166.59,bearing
0.04,1.09,0.04,159.60,bearing
0.04,1.08,0.04,154.12,bearing
0.04,1.09,0.04,158.79,bearing
0.04,1.08,0.04,158.22,bearing
0.04,1.09,0.04,163.83,bearing
0.04,1.09,0.04,158.67,bearing
0.04,1.09,0.04,161.28,bearing
0.04,1.09,0.04,161.37,bearing
0.04,1.09,0.04,162.93,bearing
0.04,1.09,0.04,160.44,bearing
0.04,1.09,0.04,165.27,bearing
0.04,1.09,0.04,159.96,bearing
0.04,1.09,0.04,157.26,bearing
0.04,1.09,0.04,167.28,bearing
0.04,1.09,0.04,162.79,bearing
0.04,1.08,0.04,160.17,bearing
0.04,1.09,0.04,155.58,bearing
0.04,1.09,0.04,164.99,bearing
0.04,1.09,0.04,162.72,bearing
0.04,1.08,0.04,166.01,bearing
0.04,1.09,0.04,156.66,bearing
0.04,1.09,0.04,157.60,bearing
0.04,1.09,0.04,158.80,bearing
0.04,1.09,0.04,165.58,bearing
0.04,1.09,0.04,159.79,bearing
0.04,1.09,0.04,158.84,bearing
0.04,1.09,0.04,166.30,bearing
0.04,1.09,0.04,165.95,bearing
0.04,1.09,0.04,161.70,bearing
0.04,1.09,0.04,161.07,bearing
