rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,31.39,fluctuations
0.06,1.09,0.05,35.82,fluctuations
0.06,1.09,0.05,41.89,fluctuations
0.06,1.09,0.05,52.47,fluctuations
0.06,1.09,0.05,59.08,fluctuations
0.06,1.09,0.05,64.72,fluctuations
0.06,1.09,0.05,75.36,fluctuations
0.06,1.09,0.05,85.13,fluctuations
0.06,1.09,0.05,90.74,fluctuations
0.06,1.09,0.05,103.42,fluctuations
0.06,1.09,0.05,109.88,fluctuations
0.06,1.09,0.05,118.29,fluctuations
0.06,1.09,0.05,129.45,fluctuations
0.06,1.09,0.05,139.57,fluctuations
0.06,1.09,0.05,154.44,fluctuations
0.06,1.09,0.05,156.87,fluctuations
0.06,1.09,0.05,125.88,fluctuations
0.06,1.09,0.05,72.92,fluctuations
0.06,1.09,0.05,42.78,fluctuations
0.06,1.09,0.05,29.42,fluctuations
0.06,1.09,0.05,28.66,fluctuations
0.06,1.08,0.05,28.38,fluctuations
0.06,1.08,0.05,33.46,fluctuations
0.06,1.09,0.05,42.13,fluctuations
0.06,1.09,0.05,47.52,fluctuations
0.06,1.09,0.05,57.01,fluctuations
0.06,1.09,0.05,65.43,fluctuations
0.06,1.09,0.05,70.09,fluctuations
0.06,1.09,0.05,80.27,fluctuations
0.06,1.09,0.05,91.26,fluctuations
0.06,1.09,0.05,96.55,fluctuations
0.06,1.09,0.05,109.28,fluctuations
0.06,1.09,0.05,115.81,fluctuations
0.06,1.09,0.05,124.76,fluctuations
0.06,1.09,0.05,133.73,fluctuations
0.06,1.09,0.05,148.59,fluctuations
0.06,1.09,0.05,156.17,fluctuations
0.06,1.09,0.05,145.71,fluctuations
0.06,1.09,0.05,83.20,fluctuations
0.06,1.09,0.05,47.98,fluctuations
0.06,1.09,0.05,31.86,fluctuations
0.06,1.09,0.05,26.63,fluctuations
0.06,1.09,0.05,30.99,fluctuations
0.06,1.09,0.05,31.95,fluctuations
0.06,1.09,0.05,35.87,fluctuations
0.06,1.09,0.05,46.51,fluctuations
0.06,1.08,0.05,51.63,fluctuations
0.06,1.09,0.05,58.32,fluctuations
0.06,1.09,0.05,70.21,fluctuations
0.06,1.09,0.05,75.93,fluctuations
0.06,1.09,0.05,82.51,fluctuations
0.06,1.08,0.05,95.11,fluctuations
0.06,1.09,0.05,105.20,fluctuations
0.06,1.09,0.05,119.38,fluctuations
0.06,1.09,0.05,128.86,fluctuations
0.06,1.09,0.05,140.83,fluctuations
0.06,1.09,0.05,152.79,fluctuations
0.06,1.09,0.05,153.72,fluctuations
0.06,1.09,0.05,154.71,fluctuations
0.06,1.09,0.05,98.86,fluctuations
0.06,1.09,0.05,55.13,fluctuations
0.06,1.09,0.05,35.49,fluctuations
0.06,1.09,0.05,26.87,fluctuations
0.06,1.09,0.05,25.98,fluctuations
0.06,1.09,0.05,32.17,fluctuations
0.06,1.09,0.05,35.03,fluctuations
0.06,1.09,0.05,42.12,fluctuations
0.06,1.09,0.05,54.46,fluctuations
0.06,1.09,0.05,58.88,fluctuations
0.06,1.09,0.05,65.36,fluctuations
0.06,1.09,0.05,79.06,fluctuations
0.06,1.09,0.05,85.10,fluctuations
0.06,1.09,0.05,92.45,fluctuations
0.06,1.09,0.05,107.83,fluctuations
0.06,1.09,0.05,111.71,fluctuations
0.06,1.09,0.05,126.71,fluctuations
0.06,1.09,0.05,135.75,fluctuations
0.06,1.08,0.05,146.25,fluctuations
0.06,1.09,0.05,153.60,fluctuations
0.06,1.09,0.05,165.25,fluctuations
0.06,1.09,0.05,120.23,fluctuations
0.06,1.08,0.05,71.16,fluctuations
0.06,1.09,0.05,41.33,fluctuations
0.06,1.09,0.05,30.39,fluctuations
0.06,1.09,0.05,27.60,fluctuations
0.06,1.08,0.06,28.17,fluctuations
0.06,1.09,0.05,36.19,fluctuations
0.06,1.09,0.05,40.02,fluctuations
0.06,1.09,0.05,45.41,fluctuations
0.06,1.09,0.05,58.43,fluctuations
0.06,1.09,0.05,64.16,fluctuations
0.06,1.09,0.05,70.41,fluctuations
0.06,1.09,0.05,82.80,fluctuations
0.06,1.09,0.05,86.98,fluctuations
0.06,1.09,0.05,99.29,fluctuations
0.06,1.09,0.05,115.52,fluctuations
0.06,1.09,0.05,119.33,fluctuations
0.06,1.09,0.05,130.37,fluctuations
0.06,1.09,0.05,139.21,fluctuations
0.06,1.09,0.05,154.85,fluctuations
0.06,1.09,0.05,157.83,fluctuations
0.06,1.09,0.05,144.16,fluctuations
0.06,1.09,0.05,81.73,fluctuations
0.06,1.09,0.05,47.97,fluctuations
0.06,1.09,0.05,31.18,fluctuations
0.06,1.09,0.05,27.52,fluctuations
0.06,1.09,0.05,28.91,fluctuations
0.06,1.09,0.05,31.93,fluctuations
0.06,1.09,0.05,39.59,fluctuations
0.06,1.09,0.05,45.37,fluctuations
0.06,1.09,0.05,51.08,fluctuations
0.06,1.08,0.05,62.92,fluctuations
0.06,1.09,0.05,70.78,fluctuations
0.06,1.09,0.05,78.29,fluctuations
0.06,1.09,0.05,91.47,fluctuations
0.06,1.09,0.05,97.39,fluctuations
0.06,1.09,0.05,107.17,fluctuations
0.06,1.09,0.05,121.01,fluctuations
0.06,1.09,0.05,125.00,fluctuations
