rms_x,rms_y,rms_z,pw,label
0.05,1.09,0.05,136.12,normal
0.05,1.09,0.05,141.96,normal
0.05,1.09,0.05,140.96,normal
0.05,1.09,0.05,136.08,normal
0.05,1.09,0.04,145.09,normal
0.05,1.09,0.05,144.92,normal
0.05,1.09,0.05,137.41,normal
0.05,1.09,0.05,141.23,normal
0.05,1.09,0.05,142.21,normal
0.05,1.09,0.04,139.03,normal
0.05,1.09,0.04,142.59,normal
0.05,1.09,0.05,137.97,normal
0.05,1.09,0.04,135.59,normal
0.05,1.09,0.05,139.59,normal
0.05,1.09,0.05,134.15,normal
0.05,1.09,0.04,138.50,normal
0.05,1.09,0.04,139.25,normal
0.05,1.09,0.05,134.97,normal
0.05,1.09,0.04,137.64,normal
0.05,1.09,0.05,142.64,normal
0.04,1.09,0.05,137.27,normal
0.05,1.09,0.05,142.09,normal
0.05,1.09,0.05,146.77,normal
0.05,1.09,0.05,142.83,normal
0.05,1.09,0.05,148.02,normal
0.05,1.09,0.05,147.38,normal
0.05,1.09,0.05,145.37,normal
0.05,1.09,0.05,147.53,normal
0.05,1.09,0.05,146.24,normal
0.05,1.09,0.05,142.35,normal
0.05,1.09,0.04,145.02,normal
0.05,1.09,0.05,140.19,normal
0.05,1.09,0.05,136.29,normal
0.05,1.09,0.04,138.25,normal
0.05,1.09,0.05,133.32,normal
0.05,1.09,0.05,128.59,normal
0.05,1.09,0.04,138.84,normal
0.05,1.09,0.05,137.90,normal
0.05,1.09,0.05,133.02,normal
0.05,1.09,0.05,146.31,normal
0.05,1.09,0.05,147.63,normal
0.05,1.09,0.05,138.97,normal
0.05,1.09,0.05,146.21,normal
0.05,1.09,0.05,144.38,normal
0.04,1.09,0.05,137.26,normal
0.05,1.09,0.05,142.68,normal
0.05,1.09,0.05,138.69,normal
0.05,1.09,0.05,134.52,normal
0.05,1.09,0.04,144.84,normal
0.05,1.09,0.05,139.34,normal
0.05,1.09,0.05,137.22,normal
0.05,1.09,0.04,146.46,normal
0.05,1.09,0.05,139.13,normal
0.05,1.09,0.05,139.24,normal
0.05,1.09,0.04,146.35,normal
0.05,1.09,0.05,142.00,normal
0.05,1.09,0.05,140.50,normal
0.05,1.09,0.04,148.82,normal
0.05,1.09,0.05,145.69,normal
0.05,1.09,0.05,143.12,normal
0.05,1.09,0.04,149.71,normal
0.05,1.09,0.05,145.38,normal
0.05,1.09,0.05,144.81,normal
0.05,1.09,0.05,148.51,normal
0.05,1.09,0.05,145.95,normal
0.05,1.09,0.05,143.45,normal
0.05,1.09,0.05,145.83,normal
0.05,1.09,0.05,141.99,normal
0.05,1.09,0.05,138.79,normal
0.05,1.09,0.05,141.42,normal
0.05,1.09,0.05,136.41,normal
0.05,1.09,0.05,140.01,normal
0.05,1.09,0.05,138.73,normal
0.05,1.09,0.05,134.09,normal
0.05,1.09,0.05,140.29,normal
0.05,1.09,0.05,143.95,normal
0.05,1.09,0.05,133.75,normal
0.05,1.09,0.04,144.42,normal
0.05,1.09,0.05,143.14,normal
0.05,1.09,0.05,134.29,normal
0.05,1.09,0.04,143.40,normal
0.05,1.09,0.05,149.60,normal
0.04,1.09,0.05,137.20,normal
0.05,1.09,0.04,146.27,normal
0.05,1.09,0.05,146.74,normal
0.04,1.09,0.05,136.22,normal
0.05,1.09,0.04,144.03,normal
0.05,1.09,0.04,141.79,normal
0.05,1.09,0.05,139.82,normal
0.05,1.09,0.05,142.09,normal
0.05,1.09,0.05,138.47,normal
0.05,1.09,0.05,134.43,normal
0.05,1.09,0.05,138.19,normal
0.05,1.08,0.05,133.35,normal
0.05,1.09,0.05,128.12,normal
0.05,1.09,0.04,134.36,normal
0.05,1.09,0.05,131.71,normal
