rms_x,rms_y,rms_z,pw,label
0.07,1.09,0.08,162.11,obstruction
0.05,1.09,0.07,163.78,obstruction
0.08,1.09,0.08,168.46,obstruction
0.06,1.11,0.08,166.73,obstruction
0.05,1.07,0.06,167.29,obstruction
0.06,1.10,0.07,170.82,obstruction
0.05,1.08,0.06,168.81,obstruction
0.05,1.09,0.06,170.76,obstruction
0.05,1.08,0.06,163.35,obstruction
0.05,1.09,0.06,158.63,obstruction
0.05,1.09,0.05,156.61,obstruction
0.05,1.09,0.05,159.66,obstruction
0.05,1.09,0.05,165.08,obstruction
0.05,1.08,0.06,164.34,obstruction
0.05,1.09,0.06,156.22,obstruction
0.06,1.08,0.06,161.26,obstruction
0.08,1.10,0.08,163.43,obstruction
0.06,1.08,0.06,166.09,obstruction
0.07,1.10,0.06,161.59,obstruction
0.04,1.08,0.06,158.50,obstruction
0.04,1.09,0.05,155.40,obstruction
0.05,1.08,0.06,160.90,obstruction
0.04,1.09,0.05,164.85,obstruction
0.05,1.08,0.06,154.37,obstruction
0.05,1.09,0.06,158.39,obstruction
0.07,1.09,0.08,162.34,obstruction
0.06,1.09,0.06,161.45,obstruction
0.09,1.09,0.08,157.57,obstruction
0.07,1.09,0.09,161.14,obstruction
0.08,1.09,0.09,167.87,obstruction
0.06,1.08,0.07,168.03,obstruction
0.10,1.09,0.12,166.74,obstruction
0.04,1.08,0.07,168.72,obstruction
0.08,1.09,0.07,163.34,obstruction
0.05,1.09,0.06,164.22,obstruction
0.07,1.08,0.07,163.98,obstruction
0.07,1.10,0.08,164.27,obstruction
0.10,1.08,0.11,167.81,obstruction
0.11,1.10,0.09,170.58,obstruction
0.15,1.10,0.19,169.86,obstruction
0.14,1.09,0.16,161.28,obstruction
0.14,1.09,0.17,166.37,obstruction
0.08,1.09,0.12,166.58,obstruction
0.11,1.09,0.12,177.84,obstruction
0.06,1.09,0.10,175.15,obstruction
0.05,1.08,0.09,169.47,obstruction
0.05,1.09,0.07,164.21,obstruction
0.07,1.08,0.07,169.96,obstruction
0.07,1.10,0.12,175.23,obstruction
0.06,1.09,0.08,171.24,obstruction
0.07,1.09,0.12,176.19,obstruction
0.05,1.09,0.08,169.77,obstruction
0.08,1.09,0.12,175.26,obstruction
0.05,1.09,0.08,176.86,obstruction
0.05,1.08,0.08,174.13,obstruction
0.06,1.09,0.09,173.79,obstruction
0.07,1.09,0.11,169.32,obstruction
0.08,1.09,0.12,173.51,obstruction
0.06,1.09,0.08,173.63,obstruction
0.07,1.09,0.11,169.26,obstruction
0.06,1.09,0.09,168.76,obstruction
0.09,1.09,0.12,176.05,obstruction
0.05,1.09,0.08,176.05,obstruction
0.07,1.09,0.08,167.70,obstruction
0.06,1.09,0.08,178.53,obstruction
0.06,1.09,0.06,178.41,obstruction
0.07,1.09,0.08,180.96,obstruction
0.05,1.09,0.06,176.85,obstruction
0.07,1.09,0.08,174.80,obstruction
0.05,1.09,0.06,175.18,obstruction
0.09,1.08,0.10,171.74,obstruction
0.08,1.09,0.12,173.34,obstruction
0.06,1.08,0.08,173.62,obstruction
0.06,1.09,0.08,177.91,obstruction
0.05,1.09,0.05,174.41,obstruction
0.06,1.09,0.07,174.85,obstruction
0.04,1.09,0.05,176.13,obstruction
0.06,1.08,0.07,174.31,obstruction
0.06,1.09,0.07,172.78,obstruction
0.05,1.08,0.07,175.92,obstruction
0.07,1.09,0.11,174.73,obstruction
0.06,1.08,0.09,172.64,obstruction
0.09,1.09,0.12,175.97,obstruction
0.05,1.09,0.08,187.54,obstruction
0.07,1.09,0.09,185.32,obstruction
0.07,1.09,0.10,181.03,obstruction
0.08,1.09,0.07,185.42,obstruction
0.09,1.09,0.12,179.46,obstruction
0.06,1.09,0.07,179.18,obstruction
0.12,1.10,0.13,188.81,obstruction
0.07,1.08,0.10,179.53,obstruction
0.10,1.08,0.10,184.02,obstruction
0.10,1.09,0.13,180.66,obstruction
0.06,1.09,0.07,179.05,obstruction
0.22,1.08,0.24,189.35,obstruction
0.23,1.10,0.28,190.40,obstruction
0.18,1.10,0.15,195.10,obstruction
0.09,1.09,0.10,203.53,obstruction
0.07,1.09,0.07,198.74,obstruction
0.06,1.08,0.07,193.62,obstruction
0.05,1.09,0.06,199.06,obstruction
0.05,1.09,0.05,192.40,obstruction
0.05,1.09,0.06,192.23,obstruction
0.06,1.09,0.06,190.19,obstruction
0.04,1.09,0.05,191.82,obstruction
0.07,1.09,0.08,188.38,obstruction
0.05,1.09,0.06,193.39,obstruction
0.04,1.09,0.05,186.47,obstruction
0.05,1.09,0.06,186.56,obstruction
0.04,1.09,0.05,189.38,obstruction
0.05,1.09,0.06,187.37,obstruction
0.07,1.09,0.07,180.58,obstruction
