Transmission Count,Transmission Time (ms)
1,12120.0
2,12212.0
3,12119.0
4,12214.0
5,12208.0
6,12214.0
7,12120.0
8,12213.0
9,12185.0
10,12161.0
11,12211.0
12,12213.0
13,12210.0
14,12312.0
15,12121.0
16,12213.0
17,12209.0
18,12213.0
19,12121.0
20,12213.0
21,12210.0
22,12231.0
23,12329.0
24,12213.0
25,12099.0
26,12160.0
27,12211.0
28,12212.0
29,12209.0
30,12212.0
31,12209.0
32,12213.0
33,12208.0
34,12213.0
35,12208.0
36,12212.0
37,12209.0
38,12212.0
39,12121.0
40,12212.0
41,12184.0
42,12161.0
43,12212.0
44,12212.0
45,12210.0
46,12213.0
47,12210.0
48,12213.0
49,12209.0
50,12213.0
51,12210.0
52,12213.0
53,12209.0
54,12214.0
55,12210.0
56,12301.0
57,12198.0
58,12156.0
59,12209.0
60,12213.0
61,12208.0
62,12211.0
63,12121.0
64,12212.0
65,12209.0
66,12211.0
67,12209.0
68,12212.0
69,12120.0
