Transmission Count,Transmission Time (ms)
1,773.0
2,763.0
3,773.0
4,787.0
5,770.0
6,763.0
7,771.0
8,763.0
9,999.0
10,772.0
11,858.0
12,771.0
13,768.0
14,770.0
15,768.0
16,768.0
17,770.0
18,768.0
19,768.0
20,768.0
21,768.0
22,768.0
23,768.0
24,768.0
25,768.0
26,985.0
27,854.0
28,771.0
29,764.0
30,766.0
31,765.0
32,768.0
33,766.0
34,768.0
35,764.0
36,768.0
37,764.0
38,766.0
39,765.0
40,766.0
41,764.0
42,995.0
43,858.0
44,773.0
45,768.0
46,771.0
47,768.0
48,771.0
49,768.0
50,771.0
51,769.0
52,771.0
53,931.0
54,769.0
55,767.0
56,769.0
57,767.0
58,989.0
59,853.0
60,772.0
61,764.0
62,768.0
63,765.0
64,768.0
65,766.0
66,768.0
67,764.0
68,766.0
69,764.0
70,766.0
71,764.0
72,768.0
73,764.0
74,997.0
75,858.0
76,773.0
77,768.0
78,771.0
79,768.0
80,769.0
81,767.0
82,769.0
83,768.0
84,771.0
85,767.0
86,777.0
87,770.0
88,769.0
89,768.0
90,989.0
91,857.0
92,771.0
93,764.0
94,766.0
95,764.0
96,766.0
97,764.0
98,768.0
99,766.0
100,768.0
101,766.0
102,768.0
103,764.0
104,766.0
105,764.0
